2023/12/16 02:07:47 PM > episode 1 done. reward=37.0 | episode_steps=37 | hours=0.000 | epsilon=0.998
2023/12/16 02:07:48 PM > episode 2 done. reward=57.0 | episode_steps=57 | hours=0.001 | epsilon=0.996
2023/12/16 02:07:48 PM > episode 3 done. reward=16.0 | episode_steps=16 | hours=0.001 | epsilon=0.995
2023/12/16 02:07:48 PM > episode 4 done. reward=17.0 | episode_steps=17 | hours=0.001 | epsilon=0.994
2023/12/16 02:07:49 PM > episode 5 done. reward=12.0 | episode_steps=12 | hours=0.001 | epsilon=0.994
2023/12/16 02:07:49 PM > episode 6 done. reward=18.0 | episode_steps=18 | hours=0.001 | epsilon=0.993
2023/12/16 02:07:49 PM > episode 7 done. reward=15.0 | episode_steps=15 | hours=0.001 | epsilon=0.992
2023/12/16 02:07:50 PM > episode 8 done. reward=15.0 | episode_steps=15 | hours=0.001 | epsilon=0.992
2023/12/16 02:07:50 PM > episode 9 done. reward=12.0 | episode_steps=12 | hours=0.001 | epsilon=0.991
2023/12/16 02:07:50 PM > episode 10 done. reward=14.0 | episode_steps=14 | hours=0.001 | epsilon=0.991
2023/12/16 02:07:51 PM > episode 11 done. reward=41.0 | episode_steps=41 | hours=0.002 | epsilon=0.989
2023/12/16 02:07:51 PM > episode 12 done. reward=14.0 | episode_steps=14 | hours=0.002 | epsilon=0.988
2023/12/16 02:07:52 PM > episode 13 done. reward=22.0 | episode_steps=22 | hours=0.002 | epsilon=0.987
2023/12/16 02:07:52 PM > episode 14 done. reward=14.0 | episode_steps=14 | hours=0.002 | epsilon=0.986
2023/12/16 02:07:52 PM > episode 15 done. reward=19.0 | episode_steps=19 | hours=0.002 | epsilon=0.986
2023/12/16 02:07:53 PM > episode 16 done. reward=14.0 | episode_steps=14 | hours=0.002 | epsilon=0.985
2023/12/16 02:07:53 PM > episode 17 done. reward=19.0 | episode_steps=19 | hours=0.002 | epsilon=0.984
2023/12/16 02:07:54 PM > episode 18 done. reward=23.0 | episode_steps=23 | hours=0.002 | epsilon=0.983
2023/12/16 02:07:54 PM > episode 19 done. reward=22.0 | episode_steps=22 | hours=0.002 | epsilon=0.982
2023/12/16 02:07:54 PM > episode 20 done. reward=11.0 | episode_steps=11 | hours=0.002 | epsilon=0.982
2023/12/16 02:07:54 PM > episode 21 done. reward=10.0 | episode_steps=10 | hours=0.003 | epsilon=0.981
2023/12/16 02:07:55 PM > episode 22 done. reward=11.0 | episode_steps=11 | hours=0.003 | epsilon=0.981
2023/12/16 02:07:55 PM > episode 23 done. reward=24.0 | episode_steps=24 | hours=0.003 | epsilon=0.980
2023/12/16 02:07:55 PM > episode 24 done. reward=18.0 | episode_steps=18 | hours=0.003 | epsilon=0.979
2023/12/16 02:07:56 PM > episode 25 done. reward=34.0 | episode_steps=34 | hours=0.003 | epsilon=0.977
2023/12/16 02:07:56 PM > episode 26 done. reward=14.0 | episode_steps=14 | hours=0.003 | epsilon=0.977
