2023/11/28 09:41:22 PM > episode 1 done. reward=37.0 | episode_steps=37 | hours=0.000 | epsilon=0.998
2023/11/28 09:41:22 PM > episode 2 done. reward=33.0 | episode_steps=33 | hours=0.001 | epsilon=0.997
2023/11/28 09:41:23 PM > episode 3 done. reward=50.0 | episode_steps=50 | hours=0.001 | epsilon=0.995
2023/11/28 09:41:24 PM > episode 4 done. reward=14.0 | episode_steps=14 | hours=0.001 | epsilon=0.994
2023/11/28 09:41:24 PM > episode 5 done. reward=24.0 | episode_steps=24 | hours=0.001 | epsilon=0.993
2023/11/28 09:41:25 PM > episode 6 done. reward=61.0 | episode_steps=61 | hours=0.001 | epsilon=0.990
2023/11/28 09:41:26 PM > episode 7 done. reward=27.0 | episode_steps=27 | hours=0.002 | epsilon=0.989
2023/11/28 09:41:26 PM > episode 8 done. reward=17.0 | episode_steps=17 | hours=0.002 | epsilon=0.988
2023/11/28 09:41:27 PM > episode 9 done. reward=26.0 | episode_steps=26 | hours=0.002 | epsilon=0.987
2023/11/28 09:41:27 PM > episode 10 done. reward=18.0 | episode_steps=18 | hours=0.002 | epsilon=0.986
2023/11/28 09:41:27 PM > episode 11 done. reward=11.0 | episode_steps=11 | hours=0.002 | epsilon=0.986
2023/11/28 09:41:28 PM > episode 12 done. reward=14.0 | episode_steps=14 | hours=0.002 | epsilon=0.985
2023/11/28 09:41:28 PM > episode 13 done. reward=9.0 | episode_steps=9 | hours=0.002 | epsilon=0.985
2023/11/28 09:41:28 PM > episode 14 done. reward=13.0 | episode_steps=13 | hours=0.002 | epsilon=0.984
2023/11/28 09:41:28 PM > episode 15 done. reward=22.0 | episode_steps=22 | hours=0.002 | epsilon=0.983
2023/11/28 09:41:29 PM > episode 16 done. reward=14.0 | episode_steps=14 | hours=0.002 | epsilon=0.983
2023/11/28 09:41:29 PM > episode 17 done. reward=22.0 | episode_steps=22 | hours=0.002 | epsilon=0.982
2023/11/28 09:41:30 PM > episode 18 done. reward=23.0 | episode_steps=23 | hours=0.003 | epsilon=0.981
2023/11/28 09:41:30 PM > episode 19 done. reward=11.0 | episode_steps=11 | hours=0.003 | epsilon=0.980
2023/11/28 09:41:30 PM > episode 20 done. reward=11.0 | episode_steps=11 | hours=0.003 | epsilon=0.980
2023/11/28 09:41:30 PM > episode 21 done. reward=11.0 | episode_steps=11 | hours=0.003 | epsilon=0.979
2023/11/28 09:41:31 PM > episode 22 done. reward=11.0 | episode_steps=11 | hours=0.003 | epsilon=0.979
2023/11/28 09:41:31 PM > episode 23 done. reward=23.0 | episode_steps=23 | hours=0.003 | epsilon=0.978
2023/11/28 09:41:31 PM > episode 24 done. reward=8.0 | episode_steps=8 | hours=0.003 | epsilon=0.977
2023/11/28 09:41:31 PM > episode 25 done. reward=12.0 | episode_steps=12 | hours=0.003 | epsilon=0.977
2023/11/28 09:41:32 PM > episode 26 done. reward=15.0 | episode_steps=15 | hours=0.003 | epsilon=0.976
2023/11/28 09:41:32 PM > episode 27 done. reward=13.0 | episode_steps=13 | hours=0.003 | epsilon=0.976
2023/11/28 09:41:32 PM > episode 28 done. reward=12.0 | episode_steps=12 | hours=0.003 | epsilon=0.975
2023/11/28 09:41:33 PM > episode 29 done. reward=27.0 | episode_steps=27 | hours=0.003 | epsilon=0.974
2023/11/28 09:41:33 PM > episode 30 done. reward=12.0 | episode_steps=12 | hours=0.004 | epsilon=0.973
2023/11/28 09:41:33 PM > episode 31 done. reward=8.0 | episode_steps=8 | hours=0.004 | epsilon=0.973
2023/11/28 09:41:33 PM > episode 32 done. reward=15.0 | episode_steps=15 | hours=0.004 | epsilon=0.972
2023/11/28 09:41:34 PM > episode 33 done. reward=12.0 | episode_steps=12 | hours=0.004 | epsilon=0.972
2023/11/28 09:41:34 PM > episode 34 done. reward=17.0 | episode_steps=17 | hours=0.004 | epsilon=0.971
2023/11/28 09:41:35 PM > episode 35 done. reward=27.0 | episode_steps=27 | hours=0.004 | epsilon=0.970
2023/11/28 09:41:35 PM > episode 36 done. reward=21.0 | episode_steps=21 | hours=0.004 | epsilon=0.969
2023/11/28 09:41:35 PM > episode 37 done. reward=16.0 | episode_steps=16 | hours=0.004 | epsilon=0.968
2023/11/28 09:41:36 PM > episode 38 done. reward=21.0 | episode_steps=21 | hours=0.004 | epsilon=0.967
2023/11/28 09:41:36 PM > episode 39 done. reward=10.0 | episode_steps=10 | hours=0.004 | epsilon=0.967
2023/11/28 09:41:36 PM > episode 40 done. reward=14.0 | episode_steps=14 | hours=0.004 | epsilon=0.966
2023/11/28 09:41:37 PM > episode 41 done. reward=17.0 | episode_steps=17 | hours=0.005 | epsilon=0.966
2023/11/28 09:41:37 PM > episode 42 done. reward=12.0 | episode_steps=12 | hours=0.005 | epsilon=0.965
2023/11/28 09:41:37 PM > episode 43 done. reward=29.0 | episode_steps=29 | hours=0.005 | epsilon=0.964
2023/11/28 09:41:38 PM > episode 44 done. reward=13.0 | episode_steps=13 | hours=0.005 | epsilon=0.963
2023/11/28 09:41:38 PM > episode 45 done. reward=31.0 | episode_steps=31 | hours=0.005 | epsilon=0.962
2023/11/28 09:41:39 PM > episode 46 done. reward=13.0 | episode_steps=13 | hours=0.005 | epsilon=0.961
2023/11/28 09:41:39 PM > episode 47 done. reward=29.0 | episode_steps=29 | hours=0.005 | epsilon=0.960
2023/11/28 09:41:39 PM > episode 48 done. reward=12.0 | episode_steps=12 | hours=0.005 | epsilon=0.960
2023/11/28 09:41:40 PM > episode 49 done. reward=18.0 | episode_steps=18 | hours=0.005 | epsilon=0.959
2023/11/28 09:41:40 PM > episode 50 done. reward=10.0 | episode_steps=10 | hours=0.006 | epsilon=0.958
2023/11/28 09:41:40 PM > episode 51 done. reward=15.0 | episode_steps=15 | hours=0.006 | epsilon=0.958
2023/11/28 09:41:41 PM > episode 52 done. reward=23.0 | episode_steps=23 | hours=0.006 | epsilon=0.957
2023/11/28 09:41:41 PM > episode 53 done. reward=33.0 | episode_steps=33 | hours=0.006 | epsilon=0.955
2023/11/28 09:41:42 PM > episode 54 done. reward=16.0 | episode_steps=16 | hours=0.006 | epsilon=0.955
2023/11/28 09:41:42 PM > episode 55 done. reward=17.0 | episode_steps=17 | hours=0.006 | epsilon=0.954
2023/11/28 09:41:42 PM > episode 56 done. reward=13.0 | episode_steps=13 | hours=0.006 | epsilon=0.953
2023/11/28 09:41:43 PM > episode 57 done. reward=18.0 | episode_steps=18 | hours=0.006 | epsilon=0.953
2023/11/28 09:41:43 PM > episode 58 done. reward=25.0 | episode_steps=25 | hours=0.006 | epsilon=0.952
